learner_seed,evaluation_seed,monitor_horizon,selected_index,admitted_index,poison_initially_accepted,clean_initially_accepted,clean_first_violation_step,poison_first_violation_step,resident_first_violation_step,resident_switch_step,switch_lead_steps,resident_baseline_steps,poison_reverse_max_margin
2072,9072,1,13,17,True,True,,,,,,0,-0.1748931321432205
2072,9072,1,14,18,True,True,,,,,,0,-0.10523969478794784
2072,9072,1,15,20,True,True,,,,,,0,-0.1789985576564612
2072,9072,1,16,21,True,True,,,,,,0,-0.08609877195020758
2072,9072,1,17,22,True,True,,11,,11,0,92,-0.19674782027056673
2072,9072,1,18,24,True,True,,,,,,0,-0.18752412214909825
2072,9072,1,19,25,True,True,,,,,,0,-0.10878166062117034
2072,9072,1,20,26,True,True,,,,,,0,-0.11596838363464416
2072,9072,1,21,28,True,True,,,,,,0,-0.16663037358624488
2072,9072,1,22,29,True,True,,11,11,11,0,42,-0.06280019217507138
2072,9072,1,23,31,True,True,9,5,,5,0,70,-0.1025827940899208
2072,9072,3,0,0,True,True,,11,,9,2,88,-0.18568368430685026
2072,9072,3,1,1,True,True,,,,,,0,-0.14527111645537927
2072,9072,3,2,2,True,True,,,,,,0,-0.15843458065822413
2072,9072,3,3,4,True,True,,,,,,0,-0.1390532814042214
2072,9072,3,4,5,True,True,10,7,,5,2,80,-0.1436496627968781
2072,9072,3,5,6,True,True,,11,,9,2,51,-0.08858696447940564
2072,9072,3,6,8,True,True,,,,,,0,-0.1150974311660863
2072,9072,3,7,9,True,True,,,,,,0,-0.09405404374631181
2072,9072,3,8,10,True,True,,,,,,0,-0.18506061366357535
2072,9072,3,9,12,True,True,,8,,6,2,71,-0.17530417713324853
2072,9072,3,10,13,True,True,,,,,,0,-0.1352953120134244
2072,9072,3,11,14,True,True,,,,,,0,-0.10717031887739019
2072,9072,3,12,16,True,True,,,,,,0,-0.08966272658265237
2072,9072,3,13,17,True,True,,,,,,0,-0.1748931321432205
2072,9072,3,14,18,True,True,,,,,,0,-0.10523969478794784
2072,9072,3,15,20,True,True,,,,,,0,-0.1577669451885379
2072,9072,3,16,21,True,True,,,,,,0,-0.08254684953340041
2072,9072,3,17,22,True,True,,11,,9,2,81,-0.18584966526025345
2072,9072,3,18,24,True,True,,,,,,0,-0.17935580921288344
2072,9072,3,19,25,True,True,,,,,,0,-0.10878166062117034
2072,9072,3,20,26,True,True,,,,,,0,-0.11596838363464416
2072,9072,3,21,28,True,True,,,,,,0,-0.15837832657730513
2072,9072,3,22,29,True,True,,11,,9,2,62,-0.06205192987841443
2072,9072,3,23,31,True,True,9,5,,3,2,88,-0.07801164442397066
2072,9072,5,0,0,True,True,,11,,7,4,74,-0.1378609086435384
2072,9072,5,1,1,True,True,,,,,,0,-0.1238896280852129
2072,9072,5,2,2,True,True,,,,,,0,-0.15843458065822413
2072,9072,5,3,4,True,True,,,,,,0,-0.11923308974930343
2072,9072,5,4,5,True,True,10,7,,3,4,94,-0.07682580692661524
2072,9072,5,5,6,True,True,,11,,7,4,75,-0.08858696447940564
2072,9072,5,6,8,True,True,,,,,,0,-0.0900393947886049
2072,9072,5,7,9,True,True,,,,,,0,-0.09242184149230663
2072,9072,5,8,10,True,True,,,,,,0,-0.16445616155691206
2072,9072,5,9,12,True,True,,8,,4,4,87,-0.10836459053695231
2072,9072,5,10,13,True,True,,,,,,0,-0.10740302799755368
2072,9072,5,11,14,True,True,,,,,,0,-0.07817124058912701
2072,9072,5,12,16,True,True,,,,,,0,-0.08966272658265237
2072,9072,5,13,17,True,True,,,,,,0,-0.14261007377597054
2072,9072,5,14,18,True,True,,,,,,0,-0.10523969478794784
2072,9072,5,15,20,True,True,,,,,,0,-0.15569006857612402
2072,9072,5,16,21,True,True,,,,,,0,-0.08254684953340041
2072,9072,5,17,22,True,True,,11,,7,4,39,-0.13476297378903196
2072,9072,5,18,24,True,True,,,,,,0,-0.13200484780632166
2072,9072,5,19,25,True,True,,,,,,0,-0.10878166062117034
2072,9072,5,20,26,True,True,,,,,,0,-0.11596838363464416
2072,9072,5,21,28,True,True,,,,,,0,-0.13973733449820638
2072,9072,5,22,29,True,True,,11,,7,4,82,-0.06205192987841443
2072,9072,5,23,31,True,True,9,5,,1,4,99,-0.025477837615561855
2072,9072,10,0,0,True,True,,11,,2,9,68,-0.022656457416480313
2072,9072,10,1,1,True,True,,,,,,0,-0.11345904415196736
2072,9072,10,2,2,True,True,,,,,,0,-0.11199781381212369
2072,9072,10,3,4,True,True,,,,,,0,-0.10445522856923678
2072,9072,10,4,5,False,True,,,,,,0,0.058639533145069145
2072,9072,10,5,6,True,True,,11,,2,9,102,-0.028520595262455706
2072,9072,10,6,8,True,True,,,,,,0,-0.07708929658005516
2072,9072,10,7,9,True,True,,,,,,0,-0.09242184149230663
2072,9072,10,8,10,True,True,,,,,,0,-0.140732336188143
2072,9072,10,9,12,False,True,,,,,,0,0.023616039818443374
2072,9072,10,10,13,True,True,,,,,,0,-0.08866753909526799
2072,9072,10,11,14,True,True,,,,,,0,-0.0372345952113623
2072,9072,10,12,16,True,True,,,,,,0,-0.07527302950204902
2072,9072,10,13,17,True,True,,,,,,0,-0.0623462460380409
2072,9072,10,14,18,True,True,,,,,,0,-0.10523969478794784
2072,9072,10,15,20,True,True,,,,,,0,-0.15569006857612402
2072,9072,10,16,21,True,True,,,,,,0,-0.08254684953340041
2072,9072,10,17,22,True,True,,11,,2,9,82,-0.017117103099859365
2072,9072,10,18,24,True,True,,,,,,0,-0.04607284562724334
2072,9072,10,19,25,True,True,,,,,,0,-0.10011779989572872
2072,9072,10,20,26,True,True,,,,,,0,-0.06511374236068054
2072,9072,10,21,28,True,True,,,,,,0,-0.10801375101547123
2072,9072,10,22,29,True,True,,11,,2,9,104,-0.033431652860631184
2072,9072,10,23,31,False,False,,,,,,0,0.07356187387418384
2072,9072,20,0,0,False,True,,,,,,0,0.009718496302194957
2072,9072,20,1,1,True,True,,,,,,0,-0.11345904415196736
2072,9072,20,2,2,True,True,,,,,,0,-0.09461307939127638
2072,9072,20,3,4,True,True,,,,,,0,-0.10445522856923678
2072,9072,20,4,5,False,False,,,,,,0,0.09014509697138012
2072,9072,20,5,6,False,True,,,,,,0,0.05421555814434453
2072,9072,20,6,8,True,True,,,,,,0,-0.07708929658005516
2072,9072,20,7,9,True,True,,,,,,0,-0.09242184149230663
2072,9072,20,8,10,True,True,,,,,,0,-0.1403720256032681
2072,9072,20,9,12,False,True,,,,,,0,0.055742678970966186
2072,9072,20,10,13,True,True,,,,,,0,-0.08866753909526799
2072,9072,20,11,14,True,True,,,,,,0,-0.03611239064605948
2072,9072,20,12,16,True,True,,,,,,0,-0.049140278164539114
2072,9072,20,13,17,True,True,,,,,,0,-0.04777806189359399
2072,9072,20,14,18,True,True,,,,,,0,-0.08569899617027096
2072,9072,20,15,20,True,True,,,,,,0,-0.15497082290604372
2072,9072,20,16,21,True,True,,,,,,0,-0.08254684953340041
2072,9072,20,17,22,False,True,,,,,,0,0.016930019172694155
2072,9072,20,18,24,True,True,,,,,,0,-0.030249922090508058
2072,9072,20,19,25,True,True,,,,,,0,-0.08523791360793438
2072,9072,20,20,26,True,True,,,,,,0,-0.021192457945749893
2072,9072,20,21,28,True,True,,,,,,0,-0.10631618605733054
2072,9072,20,22,29,False,True,,,,,,0,0.07163167080382377
2072,9072,20,23,31,False,False,,,,,,0,0.08612489703520837
