learner_seed,source_seed,source_index,freeze_max_margin,commit_max_margin,freeze_certificate_safe,commit_certificate_safe,common_admitted,selected_for_deployment
2040,5052,0,-0.15417315027444403,-0.049447835048757605,True,True,True,False
2040,5052,1,-0.18103315831191685,-0.1401949624284939,True,True,True,False
2040,5052,2,-0.1629702868330481,-0.10120218240554371,True,True,True,False
2040,5052,3,-0.17193512044975306,-0.13782090772414693,True,True,True,False
2040,5052,4,-0.16904418000953353,-0.09551087851593917,True,True,True,False
2040,5052,5,-0.15330641828595448,-0.04715537281600396,True,True,True,False
2040,5052,6,-0.17318022803359254,-0.10868839141970259,True,True,True,True
2040,5052,7,-0.1521042112813908,-0.04491589425769765,True,True,True,False
2040,5052,8,-0.17990863248540723,-0.13607998656464823,True,True,True,False
2040,5052,9,-0.17552518812560208,-0.15242113861201773,True,True,True,False
2040,5052,10,-0.15978883069663155,-0.07699759613506534,True,True,True,False
2040,5052,11,-0.146085080240511,-0.030113253950429464,True,True,True,False
2040,5052,12,-0.16312695219096654,-0.07876855305031835,True,True,True,False
2040,5052,13,-0.15909336089506132,-0.09834468526773663,True,True,True,False
2040,5052,14,-0.17774718282687632,-0.1258464328094846,True,True,True,False
2040,5052,15,-0.15430913344649463,-0.051883336748165004,True,True,True,False
2040,5052,16,-0.14877633309077407,-0.029185510916337615,True,True,True,False
2040,5052,17,-0.17603247285625956,-0.15316526335534644,True,True,True,False
2040,5052,18,-0.1532814947279714,-0.05500634519370942,True,True,True,False
2040,5052,19,-0.15902516796378569,-0.06925390850578969,True,True,True,False
2040,5052,20,-0.1440650038761033,-0.009260518143889729,True,True,True,False
2040,5052,21,-0.15120654589204896,-0.03383826238376442,True,True,True,False
2040,5052,22,-0.17557835117235623,-0.11070296296545971,True,True,True,False
2040,5052,23,-0.1809127798474955,-0.15249432818923253,True,True,True,False
2040,5052,24,-0.17867039615201588,-0.15095325584767605,True,True,True,False
2040,5052,25,-0.18516754350491493,-0.14684965269885075,True,True,True,False
2040,5052,26,-0.17523098714751328,-0.1384378148858527,True,True,True,True
2040,5052,27,-0.16623585551060652,-0.1058686484524387,True,True,True,False
2040,5052,28,-0.14162853363506794,-0.01252515404024257,True,True,True,False
2040,5052,29,-0.15581715861499612,-0.044646647330548433,True,True,True,False
2040,5052,30,-0.15720039958174822,-0.0585754682978995,True,True,True,False
2040,5052,31,-0.19330234800434315,-0.17985023986832402,True,True,True,False
2040,5052,32,-0.14912858195542028,-0.05707881687361721,True,True,True,False
2040,5052,33,-0.1752865464040428,-0.12141043638629255,True,True,True,False
2040,5052,34,-0.18650121194613245,-0.1610492589159382,True,True,True,False
2040,5052,35,-0.18083546359838817,-0.13863136151248068,True,True,True,False
2040,5052,36,-0.1562498748609201,-0.1035649058001257,True,True,True,False
2040,5052,37,-0.15657973471055514,-0.08803871694708702,True,True,True,False
2040,5052,38,-0.18569676405926175,-0.17650667258356587,True,True,True,False
2040,5052,39,-0.15006999582607716,-0.034201801635867696,True,True,True,False
2040,5052,40,-0.1584040310266195,-0.11454570537984915,True,True,True,False
2040,5052,41,-0.15045718513444623,-0.02416214271480216,True,True,True,False
2040,5052,42,-0.19237934371093188,-0.17344718303829607,True,True,True,False
