learner_seed,evaluation_seed,mechanism,selected_index,init_x,init_x_dot,init_theta,init_theta_dot,snapshot_initially_accepted,casadi_full_first_violation_step,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward
2302,9302,clean_permanent_raw_release,19,0.24811174113554352,-0.4375672550429246,-0.07798868932595447,0.6452239793801051,True,,,,0,-0.10488994793430155
2302,9302,clean_resident_predictive_authority,19,0.24811174113554352,-0.4375672550429246,-0.07798868932595447,0.6452239793801051,True,,,,0,-0.10488994793430155
2302,9302,clean_permanent_raw_release,20,0.23605099963101822,-0.49314427919391146,-0.1292230122399197,0.9231197871766976,True,,,,0,-0.10770558305295479
2302,9302,clean_resident_predictive_authority,20,0.23605099963101822,-0.49314427919391146,-0.1292230122399197,0.9231197871766976,True,,,,0,-0.10770558305295479
2302,9302,clean_permanent_raw_release,21,-0.13221107139768712,-0.1784914981762673,0.14696317522340277,0.40219133366544413,True,,,,0,-0.2169243060640662
2302,9302,clean_resident_predictive_authority,21,-0.13221107139768712,-0.1784914981762673,0.14696317522340277,0.40219133366544413,True,,,,0,-0.2169243060640662
2302,9302,clean_permanent_raw_release,22,-0.2475922604930657,-0.25048054174613377,0.003719921145046823,0.8919004717557628,True,,,,0,-0.1674627044311076
2302,9302,clean_resident_predictive_authority,22,-0.2475922604930657,-0.25048054174613377,0.003719921145046823,0.8919004717557628,True,,,,0,-0.1674627044311076
2302,9302,clean_permanent_raw_release,23,0.24274249338394638,-0.10402798831893323,-0.13371926184606558,-0.3989504644052233,True,,,,0,-0.2720557020884466
2302,9302,clean_resident_predictive_authority,23,0.24274249338394638,-0.10402798831893323,-0.13371926184606558,-0.3989504644052233,True,,,,0,-0.2720557020884466
2303,9303,clean_permanent_raw_release,0,0.20832828258304026,0.061507456919383974,0.14376889743778923,0.7429292350847616,True,,,,0,-0.48702891501801143
2303,9303,clean_resident_predictive_authority,0,0.20832828258304026,0.061507456919383974,0.14376889743778923,0.7429292350847616,True,,,,0,-0.48702891501801143
2303,9303,clean_permanent_raw_release,1,-0.1493349195014403,0.2558227400926868,0.048579136676900225,0.44808450317790527,True,,,,0,-0.1340789487825495
2303,9303,clean_resident_predictive_authority,1,-0.1493349195014403,0.2558227400926868,0.048579136676900225,0.44808450317790527,True,,,,0,-0.1340789487825495
