seed,rho,mechanism,first_violation_step,mean_reward
2211,0.005,poison,,-1.6266852843958721
2211,0.005,poison,8,-1.320276887139022
2211,0.005,poison,,-1.2831366134914652
2211,0.005,poison,,-1.271265541309745
2211,0.005,poison,,-1.3272484959218322
2211,0.005,poison,,-1.489235037919976
2211,0.005,poison,,-1.6098384749903958
2211,0.005,poison,,-1.77537304176711
2211,0.005,freeze,,-0.580621654876358
2211,0.005,freeze,,-0.4089667761193023
2211,0.005,freeze,,-0.27761638233049174
2211,0.005,freeze,,-0.09714507255813115
2211,0.005,freeze,,-0.029004470859259945
2211,0.005,freeze,,-0.019579359718076454
2211,0.005,freeze,,-0.05526099984633106
2211,0.005,freeze,,-0.43474650706774914
2211,0.005,freeze,,-0.2976366617016786
2211,0.005,freeze,,-0.19076514485397889
2211,0.005,freeze,,-0.04777628610288465
2211,0.005,freeze,,-0.011477908227665198
2211,0.005,freeze,,-0.04152685790859659
2211,0.005,freeze,,-0.09895583843183406
2211,0.005,freeze,,-0.3202916172703
2211,0.005,freeze,,-0.2084567977983909
2211,0.005,freeze,,-0.1225844265783481
2211,0.005,freeze,,-0.015193583816603292
2211,0.005,freeze,,-0.03005676123883619
2211,0.005,freeze,,-0.08233636665886093
2211,0.005,freeze,,-0.15722502030192512
2211,0.005,freeze,,-0.15722502030192512
2211,0.005,freeze,,-0.08233636665886093
2211,0.005,freeze,,-0.03005676123883619
2211,0.005,freeze,,-0.015193583816603292
2211,0.005,freeze,,-0.1225844265783481
2211,0.005,freeze,,-0.2084567977983909
2211,0.005,freeze,,-0.3202916172703
2211,0.005,freeze,,-0.09895583843183406
2211,0.005,freeze,,-0.04152685790859659
2211,0.005,freeze,,-0.011477908227665198
2211,0.005,freeze,,-0.04777628610288465
2211,0.005,freeze,,-0.19076514485397889
2211,0.005,freeze,,-0.2976366617016786
2211,0.005,freeze,,-0.43474650706774914
2211,0.005,freeze,,-0.05526099984633106
2211,0.005,freeze,,-0.019579359718076454
2211,0.005,freeze,,-0.029004470859259945
2211,0.005,freeze,,-0.09714507255813115
2211,0.005,freeze,,-0.27761638233049174
2211,0.005,freeze,,-0.4089667761193023
2211,0.005,freeze,,-0.580621654876358
2211,0.005,commit,,-0.582512629074898
2211,0.005,commit,,-0.39066444294522046
2211,0.005,commit,,-0.2522862596819944
2211,0.005,commit,,-0.07814699323807331
2211,0.005,commit,,-0.03978743231760402
2211,0.005,commit,,-0.012373146515749557
2211,0.005,commit,,-0.04153414440475563
2211,0.005,commit,,-0.41876204972917197
2211,0.005,commit,,-0.27277178643496786
