learner_seed,batch,feasible_permutations,feasible_nonidentity_permutations,selected_global_permutation_index,selected_permutation,selected_moved_positions,selected_changed_values,maximum_reward_edit,multiset_max_error,reward_sum_error,reward_mean_error,reward_variance_error,reward_min_error,reward_max_error,positive_count_difference,current_target_distance,identity_next_target_distance,selected_next_target_distance,improvement_over_identity,selected_raw_gradient_w0,selected_raw_gradient_w1,selected_applied_gradient_w0,selected_applied_gradient_w1,selected_next_gain,selected_next_bias,selection_latency_ms,exact_first_argmin
2100,0,111,110,744,0;2;1;4;3;5;6;7,4,4,1.16420920958927,0.0,3.552713678800501e-15,4.440892098500626e-16,0.0,0.0,0.0,0,5.530068165806043,5.131150131990147,5.105289752837287,0.02586037915285999,-0.12527520166429718,-0.1989922993435866,-0.12527520166429718,-0.1989922993435866,-0.6263760083214859,-0.1989922993435866,6.773151457309723,True
2100,1,771,770,16059,3;1;2;7;0;5;6;4,4,4,1.017863548464879,0.0,0.0,0.0,0.0,0.0,0.0,0,5.105289752837287,4.953556760582262,4.879264369505831,0.0742923910764306,0.002988262607191684,-0.24680002910207277,0.002988262607191684,-0.24680002910207277,-0.6114346952855274,-0.44579232844565936,6.9064004346728325,True
2100,2,771,770,2360,0;4;2;6;3;5;1;7,4,4,0.4690268656184382,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.0,0,4.879264369505831,4.050384998450804,3.957194801272304,0.09319019717850008,-0.40567112384579995,-0.6067363489406891,-0.40567112384579995,-0.6067363489406891,-2.6397903145145274,-1.0525286773863485,7.7665746212005615,True
2100,3,771,770,11192,2;1;5;3;4;6;0;7,4,4,0.21565590768312715,0.0,0.0,0.0,0.0,0.0,0.0,0,3.957194801272304,3.943757825218279,3.8775898594583134,0.06616796575996542,-0.4048384047187351,-0.8267144541745226,-0.4048384047187351,-0.8267144541745226,-4.663982338108203,-1.879243131560871,8.100339211523533,True
2100,4,771,770,102,0;1;2;7;4;3;5;6,4,4,0.36429191528693927,0.0,4.440892098500626e-16,5.551115123125783e-17,0.0,0.0,0.0,0,3.8775898594583134,3.846458666326388,3.8038242340156847,0.042634432310703296,0.26242686198322773,0.5521674426555422,0.26242686198322773,0.5521674426555422,-3.351848028192064,-1.327075688905329,7.614186964929104,True
2100,5,771,770,30392,6;0;2;3;4;5;1;7,3,3,0.7116093956596501,0.0,4.440892098500626e-16,5.551115123125783e-17,6.938893903907228e-18,0.0,0.0,0,3.8038242340156847,2.9231896685891443,2.838725995545036,0.0844636730441084,0.009404889274594194,-0.9951471867068816,0.009404889274594194,-0.9951471867068816,-3.304823581819093,-2.3222228756122107,7.099943235516548,True
2100,6,771,770,31136,6;1;2;4;3;5;0;7,4,4,0.42394490504850146,0.0,0.0,0.0,0.0,0.0,0.0,0,2.838725995545036,3.05378763356656,2.9720518975353447,0.0817357360312152,0.007986876953325322,0.1539857214816962,0.007986876953325322,0.1539857214816962,-3.2648891970524665,-2.1682371541305145,7.593097165226936,True
2100,7,771,770,2811,0;4;7;3;1;5;6;2,4,4,0.03283639695872742,0.0,4.440892098500626e-16,5.551115123125783e-17,1.0842021724855044e-19,0.0,0.0,0,2.9720518975353447,3.1039299685196977,3.089926778168631,0.014003190351066674,-0.03032946888240516,0.0728481363040772,-0.03032946888240516,0.0728481363040772,-3.4165365414644926,-2.095389017826437,13.786012306809425,True
2100,8,771,770,39905,7;6;2;3;4;5;1;0,4,4,0.43564799178637814,0.0,0.0,0.0,0.0,0.0,0.0,0,3.089926778168631,2.646534785887273,2.22339006651079,0.423144719376483,0.1608884460666289,-0.695268946533733,0.1608884460666289,-0.695268946533733,-2.612094311131348,-2.79065796436017,10.724339634180069,True
2100,9,771,770,21744,4;2;1;3;0;5;6;7,4,4,0.1708186292074706,0.0,0.0,0.0,0.0,0.0,0.0,0,2.22339006651079,2.504441059249842,2.3217687406223826,0.18267231862745925,0.0037954508601999383,0.10095016045596687,0.0037954508601999383,0.10095016045596687,-2.5931170568303483,-2.689707803904203,19.379960373044014,True
2100,10,771,770,126,0;1;3;2;5;4;6;7,4,4,0.17670610030461192,0.0,0.0,0.0,0.0,0.0,0.0,0,2.3217687406223826,1.6625758677461768,1.6291621982509223,0.03341366949525448,0.16701543656118953,-0.7974359389534287,0.16701543656118953,-0.7974359389534287,-1.7580398740244008,-3.487143742857632,7.40982498973608,True
2100,11,771,770,5094,1;0;2;5;4;3;6;7,4,4,0.10513934270170039,0.0,0.0,0.0,0.0,0.0,0.0,0,1.6291621982509223,1.7067284712243405,1.6913163089067706,0.01541216231756981,0.0393521448445836,-0.023389235147275714,0.0393521448445836,-0.023389235147275714,-1.5612791498014826,-3.5105329780049077,7.860269397497177,True
2101,0,207,206,592,0;1;6;7;4;5;2;3,4,4,0.9089393293054986,0.0,0.0,0.0,0.0,0.0,0.0,0,5.530068165806043,5.393378702783793,5.375572683593554,0.017806019190238942,-0.024512030548040905,-0.11336349448565892,-0.024512030548040905,-0.11336349448565892,-0.12256015274020451,-0.11336349448565892,7.334653288125992,True
2101,1,771,770,1619,0;3;2;5;4;7;6;1,4,4,0.4771016887255841,0.0,0.0,0.0,0.0,0.0,0.0,0,5.375572683593554,7.253330641557137,7.225171938092207,0.028158703464930213,0.44036051326371634,0.9665328334111614,0.4146044632269529,0.9100017247633602,1.9504621633945598,0.7966382302777012,8.067277260124683,True
2101,2,771,770,39905,7;6;2;3;4;5;1;0,4,4,1.2339028977820563,0.0,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0,7.225171938092207,8.63817367623784,8.095944910134637,0.5422287661032019,0.220812519688842,0.2199720144541247,0.220812519688842,0.2199720144541247,3.0545247618387696,1.016610244731826,8.107452653348446,True
2101,3,771,770,3626,0;6;1;3;2;5;4;7,4,4,0.22563066967951226,0.0,2.220446049250313e-16,2.7755575615628914e-17,0.0,0.0,0.0,0,8.095944910134637,7.8803799133044,7.685953457289836,0.19442645601456388,-0.04455244644610545,-0.3515442439507372,-0.04455244644610545,-0.3515442439507372,2.8317625296082425,0.6650660007810887,7.651768624782562,True
2101,4,771,770,21744,4;2;1;3;0;5;6;7,4,4,0.18525915651778768,0.0,0.0,0.0,0.0,0.0,0.0,0,7.685953457289836,7.573674620164429,7.4276921876874935,0.1459824324769352,-0.012706496599596363,-0.2942483203754988,-0.012706496599596363,-0.2942483203754988,2.768230046610261,0.3708176804055899,7.731436751782894,True
2101,5,771,770,36167,7;1;2;3;6;5;4;0,4,4,0.0583180807532333,0.0,0.0,0.0,0.0,0.0,0.0,0,7.4276921876874935,7.115844786764836,7.070888405643751,0.04495638112108491,-0.014304174890472027,-0.43104693396267973,-0.014304174890472027,-0.43104693396267973,2.696709172157901,-0.06022925355708986,7.971867918968201,True
2101,6,771,770,11427,2;1;7;3;0;5;6;4,4,4,0.11154379695157089,0.0,0.0,0.0,2.168404344971009e-19,0.0,0.0,0,7.070888405643751,6.543514498733442,6.530162969009238,0.01335152972420417,-0.031510756511405606,-0.6251109695781637,-0.031510756511405606,-0.6251109695781637,2.5391553896008734,-0.6853402231352536,6.818176247179508,True
