duration,learner_seed,evaluation_seed,condition,total_batches,states_accepted,raw_release_violations,resident_violations,resident_switches,final_effective_gain,final_effective_bias,final_learner_w0,final_learner_w1,mean_true_reward,mean_logged_reward,max_reward_poison,adaptation_constraint_violations,known_sign_batches_flagged,scalar_envelope_batches_flagged,batch_mean_envelope_batches_flagged,trusted_recomputation_batches_flagged
24,2404,9404,unconstrained,24,24,4,0,4,-3.2155467514225142,-3.7341855276018725,-0.6431093502845029,-3.7341855276018725,-1.0270225212266426,-1.0333194337242244,2.0,15,18,19,0,24
24,2404,9404,constrained,24,24,3,0,3,-0.6179564225110808,-2.9669561877751893,-0.12359128450221618,-2.9669561877751893,-0.6455935087451116,-1.1492318001772093,2.0,11,0,0,0,24
48,2400,9400,clean,48,24,3,0,3,5.483485766653933,-3.063522861572219,1.0966971533307868,-3.063522861572219,-0.5930440094045447,-0.5930440094045447,0.0,8,0,1,2,0
48,2400,9400,unconstrained,48,22,17,17,20,15.797321796918927,-4.808968584002294,3.1594643593837857,-4.808968584002294,-1.3096736924263233,-1.3007341070529408,1.9999999138316809,27,23,27,4,48
48,2400,9400,constrained,48,21,16,17,20,17.815453661558536,-4.808229894034377,3.563090732311707,-4.808229894034377,-1.241541048410559,-1.4193903337310951,1.9999580333495843,28,0,1,4,47
48,2401,9401,clean,48,24,3,0,3,-6.889534501451974,2.790711026007681,-1.377906900290395,2.790711026007681,-0.5832838541538751,-0.5832838541538751,0.0,0,0,0,1,0
48,2401,9401,unconstrained,48,24,3,0,3,5.78287590678084,-4.352783444413923,1.1565751813561682,-4.352783444413923,-1.2508625013243069,-1.279020558447104,1.999999930202071,22,23,26,2,48
48,2401,9401,constrained,48,24,3,0,4,0.5722874170076494,-4.367082668316395,0.11445748340152989,-4.367082668316395,-0.9531670400697978,-1.2690430334235936,1.9999986576660147,11,0,0,1,48
48,2402,9402,clean,48,24,1,0,1,-5.541104403667068,-0.294207692092763,-1.1082208807334135,-0.294207692092763,-0.5738951085124058,-0.5738951085124058,0.0,0,0,0,0,0
48,2402,9402,unconstrained,48,23,0,0,0,7.786087971234748,-4.501351036812799,1.5572175942469497,-4.501351036812799,-1.2156676141381868,-1.265221742064545,1.9999999999749176,25,33,35,1,48
48,2402,9402,constrained,48,23,0,0,0,7.6912200613624515,-4.469838394678021,1.5382440122724903,-4.469838394678021,-1.1635372802791561,-1.371294715981972,1.9999999999749176,25,0,0,1,48
48,2403,9403,clean,48,24,2,0,2,-2.635898817064155,-2.6675878752126287,-0.527179763412831,-2.6675878752126287,-0.9932206656079293,-0.9932206656079293,0.0,24,0,2,2,0
48,2403,9403,unconstrained,48,24,24,21,24,9.678565293010308,-4.994266419751101,1.9357130586020617,-4.994266419751101,-1.4520671328966988,-1.4315654894017722,1.9999999997372342,24,28,33,5,48
48,2403,9403,constrained,48,24,16,17,21,4.156755904921076,-4.963248173650406,0.8313511809842153,-4.963248173650406,-1.3259905677072028,-1.4238103108879734,1.9999966880952382,31,0,1,3,48
48,2404,9404,clean,48,24,0,0,0,-7.811772667972692,1.0407215960692313,-1.5623545335945384,1.0407215960692313,-0.4638563315561852,-0.4638563315561852,0.0,0,0,3,1,0
48,2404,9404,unconstrained,48,24,10,0,10,-1.8249581329901827,-5.0,-0.3649916265980366,-5.0,-1.1125846614917265,-1.1001616101240559,2.0,24,37,39,1,48
48,2404,9404,constrained,48,24,11,0,11,-2.4884656004886607,-5.0,-0.49769312009773214,-5.0,-0.8030282260485126,-1.138931668861319,2.0,11,0,0,1,47
