learner_seed,batch,step,source_reward_step,true_reward,logged_reward,reward_delta,feature_gain_coordinate,feature_bias_coordinate,exploration_noise,done
2070,8,0,0,-0.02077665637163301,-0.02077665637163301,0.0,-0.0563817681793025,1.0,-0.20151979564379668,0.0
2070,8,1,1,-0.03463066167911073,-0.03463066167911073,0.0,-0.04768918225742498,1.0,0.5667704364094635,0.0
2070,8,2,7,-0.0314987192249955,-0.02709700667120754,0.004401712553787962,-0.04257452270970094,1.0,-0.4758815151055984,0.0
2070,8,3,2,-0.14144948088670556,-0.0314987192249955,0.10995076166171006,-0.03775723063146595,1.0,1.2512213904572542,0.0
2070,8,4,3,-0.09169037729407828,-0.14144948088670556,-0.04975910359262728,-0.03941813893566022,1.0,1.7442297594047418,0.0
2070,8,5,5,-0.1349845560224361,-0.1349845560224361,0.0,-0.05602506188020095,1.0,-0.25541580440118533,0.0
2070,8,6,6,-0.03053188637466774,-0.03053188637466774,0.0,-0.07011821268767893,1.0,-0.06632401474196062,0.0
2070,8,7,4,-0.02709700667120754,-0.09169037729407828,-0.06459337062287074,-0.07377507417682681,1.0,0.1709964272239354,0.0
2070,9,0,2,-0.32957794890166175,-0.023921699676943853,0.3056562492247179,-0.0728030803382656,1.0,-1.728337547911531,0.0
2070,9,1,6,-0.12372709562886422,-0.3316365251891454,-0.20790942956028116,-0.05516039042284774,1.0,1.0496875706533435,0.0
2070,9,2,0,-0.023921699676943867,-0.32957794890166175,-0.3056562492247179,-0.033005802059020546,1.0,-0.4879745884900457,0.0
2070,9,3,3,-0.06634163778119007,-0.06634163778119007,0.0,-0.016621841572527832,1.0,-1.2454479373206804,0.0
2070,9,4,4,-0.12360327462026033,-0.12360327462026033,0.0,0.008840318580168958,1.0,0.09118683351834483,0.0
2070,9,5,5,-0.02500743260605213,-0.02500743260605213,0.0,0.03185991988745699,1.0,-1.292092078116258,0.0
2070,9,6,1,-0.3316365251891454,-0.12372709562886422,0.20790942956028116,0.05074858663604223,1.0,1.4984148067707637,0.0
2070,9,7,7,-0.07871335468205393,-0.07871335468205393,0.0,0.059389081047476165,1.0,0.8045132222881402,0.0
2070,10,0,0,-0.09232702531091329,-0.09232702531091329,0.0,0.04986892945015411,1.0,0.5079896529539107,0.0
2070,10,1,7,-0.04581178158068756,-0.024190418374501886,0.021621363206185677,0.030518516312931582,1.0,-0.45907792132542574,0.0
2070,10,2,2,-0.032684807846187124,-0.032684807846187124,0.0,0.009860962194301994,1.0,0.009906440602214281,0.0
2070,10,3,3,-0.052578458991599325,-0.052578458991599325,0.0,-0.007057982095539999,1.0,0.6785091965154777,0.0
2070,10,4,5,-0.04018005225732935,-0.13328822185551448,-0.09310816959818513,-0.02652785654687682,1.0,0.6905281922110624,0.0
2070,10,5,1,-0.13328822185551448,-0.04581178158068756,0.08747644027482691,-0.048893931139653915,1.0,-0.7855765719328089,0.0
2070,10,6,6,-0.06365217257000572,-0.06365217257000572,0.0,-0.06285079375773767,1.0,-0.700091130851622,0.0
2070,10,7,4,-0.024190418374501886,-0.04018005225732935,-0.015989633882827467,-0.06318318293006296,1.0,-1.0053877420054547,0.0
2070,11,0,7,-0.026250779512099205,-0.13440112782745042,-0.10815034831535122,-0.05576138430883424,1.0,0.869400991644599,0.0
2070,11,1,1,-0.06079646810545422,-0.06079646810545422,0.0,-0.04926400929273538,1.0,-0.6190903390656719,0.0
2070,11,2,2,-0.06268943596364883,-0.06268943596364883,0.0,-0.04022867108632406,1.0,-0.9007876402053768,0.0
2070,11,3,0,-0.028456798604357892,-0.026250779512099205,0.002206019092258687,-0.01985425836713417,1.0,-1.2893502984943463,0.0
2070,11,4,4,-0.026618272997414195,-0.026618272997414195,0.0,0.009369806784942768,1.0,-0.7155052816949055,0.0
2070,11,5,3,-0.06279205718911654,-0.02845679860435789,0.03433525858475865,0.03931577297099498,1.0,-0.10869369141285937,0.0
2070,11,6,6,-0.026722730750053318,-0.026722730750053318,0.0,0.06202170090379124,1.0,-0.6424561081882031,0.0
2070,11,7,5,-0.13440112782745042,-0.06279205718911654,0.07160907063833388,0.07820884642310261,1.0,0.32843281140854996,0.0
