duration,learner_seed,evaluation_seed,condition,batch,true_reward_mean,logged_reward_mean,max_abs_poison,known_sign_flag,scalar_envelope_flag,batch_mean_envelope_flag,trusted_recomputation_flag
48,2400,9400,unconstrained,13,-0.9725215574759636,-1.0390175915298725,1.4397076109097335,True,True,False,True
48,2400,9400,unconstrained,14,-1.1636940054837641,-1.4272430828991594,1.85247707743865,True,True,False,True
48,2400,9400,unconstrained,15,-1.2800233101314316,-1.183555492823369,1.4088322394480508,False,False,False,True
48,2400,9400,unconstrained,16,-1.3618011841887425,-1.1259599279164014,1.0310121720684706,False,False,False,True
48,2400,9400,unconstrained,17,-1.5286983664789737,-1.6468843258242791,0.49342500108374604,False,False,False,True
48,2400,9400,unconstrained,18,-2.6649259913208225,-2.486129719929881,1.9994200262326494,False,True,False,True
48,2400,9400,unconstrained,19,-3.550826054867425,-3.7042679112269594,1.9819118784734213,False,True,True,True
48,2400,9400,unconstrained,20,-1.6336152368206713,-1.3282793010927278,1.9999788672554266,True,True,False,True
48,2400,9400,unconstrained,21,-0.8767943475748314,-1.0225615081912784,1.9937331654010098,True,True,False,True
48,2400,9400,unconstrained,22,-0.6905833969519559,-0.7697540539257874,0.9840543758563346,True,True,False,True
48,2400,9400,unconstrained,23,-0.6535415535228142,-1.9561693400906779,1.9840735262856368,True,True,False,True
48,2400,9400,unconstrained,24,-0.5700699374564773,-0.722186803092477,1.997839840360423,True,True,False,True
48,2400,9400,unconstrained,25,-0.5952025085931307,-0.29657940535916183,1.9425490985226368,True,True,False,True
48,2400,9400,unconstrained,26,-0.7681806099622618,-0.7985602913683442,0.3792076757084209,False,False,False,True
48,2400,9400,unconstrained,27,-0.9467620474589896,-0.9328575910033498,0.06270895876877076,False,False,False,True
48,2400,9400,unconstrained,28,-1.1805596507603244,-1.357642461622572,0.5833622587366738,False,False,False,True
48,2400,9400,unconstrained,29,-1.3763720324306645,-1.2904329490771742,0.7060121320188025,False,False,False,True
48,2400,9400,unconstrained,30,-1.5685906033485946,-1.5319619422743824,0.32401010215322934,False,False,False,True
48,2400,9400,unconstrained,31,-1.7689084625541867,-1.79370553843802,0.3858188932914478,False,False,False,True
48,2400,9400,unconstrained,32,-1.9461324538275582,-2.0664508722326222,0.6083275483362555,False,False,False,True
48,2400,9400,unconstrained,33,-2.338505590062806,-2.418508162061653,0.48389976626451187,False,False,False,True
48,2400,9400,unconstrained,34,-2.532104637486415,-2.293096870683099,0.8599308429286296,False,False,False,True
48,2400,9400,unconstrained,35,-6.553127976358944,-6.1918346368926365,1.56120207451713,False,True,True,True
48,2400,9400,unconstrained,36,-4.897664324125604,-5.0364804375036,1.787789511076617,False,True,True,True
48,2400,9400,unconstrained,37,-2.051146585003173,-2.180558019146951,0.3590816359321396,False,False,False,True
48,2400,9400,unconstrained,38,-0.4062847071874453,-0.9298336311569021,1.393954180500338,False,False,False,True
48,2400,9400,unconstrained,39,-0.3576953360781052,-0.24923897172163012,0.6517062270471274,True,True,False,True
48,2400,9400,unconstrained,40,-0.3224583648324384,-0.29835075535280736,0.17276591247112755,False,False,False,True
48,2400,9400,unconstrained,41,-0.49672247671937814,-0.3931752041491566,0.6086126537190736,True,True,False,True
48,2400,9400,unconstrained,42,-0.654070388855258,-0.31966161224744716,1.6780967528309636,True,True,False,True
48,2400,9400,unconstrained,43,-0.7694986827520021,-0.8077655641482056,0.17897412474583962,False,False,False,True
48,2400,9400,unconstrained,44,-0.9945720299816886,-0.9827968815805079,0.23657967796403076,False,False,False,True
48,2400,9400,unconstrained,45,-1.1739655233284099,-1.1748678960301282,0.12833481331138247,False,False,False,True
48,2400,9400,unconstrained,46,-1.4719296710404424,-1.2030193257057913,0.959073704352727,False,False,False,True
48,2400,9400,unconstrained,47,-1.6067892280594653,-1.5646402781989117,0.4868583515647964,False,False,False,True
48,2400,9400,constrained,0,-3.051688686409277,-3.051688686409277,0.0,False,False,True,False
48,2400,9400,constrained,1,-1.1385663270646926,-1.7048204875895712,1.9996019521614674,False,False,False,True
48,2400,9400,constrained,2,-0.4679840453278951,-0.8860682508487473,1.972156106360053,False,False,False,True
48,2400,9400,constrained,3,-0.31501070487088956,-1.571974920347221,1.9499901298148654,False,False,False,True
48,2400,9400,constrained,4,-0.22928656956998844,-0.5188669283496683,1.6422631403853543,False,False,False,True
48,2400,9400,constrained,5,-0.3757172933523727,-1.248395351335961,1.9991894623570428,False,False,False,True
48,2400,9400,constrained,6,-0.3100898701981416,-1.0197351978168088,1.9997133394206978,False,False,False,True
48,2400,9400,constrained,7,-0.2172660216284256,-0.2873147144949633,1.9685029968493264,False,False,False,True
48,2400,9400,constrained,8,-0.17908931090314711,-0.44414322802808853,1.9990356686957917,False,False,False,True
48,2400,9400,constrained,9,-0.19665622790236026,-0.679142426266756,1.9965012082136537,False,False,False,True
48,2400,9400,constrained,10,-0.2465775122768246,-1.1214021507270804,1.9949547769314517,False,False,False,True
48,2400,9400,constrained,11,-0.26723976177411735,-0.6921972118351362,1.677126883939341,False,False,False,True
48,2400,9400,constrained,12,-0.4626164507841032,-0.38507890481105334,0.3963240544722706,False,False,False,True
