duration,learner_seed,evaluation_seed,condition,mechanism,selected_index,init_x,init_x_dot,init_theta,init_theta_dot,snapshot_initially_accepted,casadi_full_first_violation_step,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward
12,2400,9400,constrained,raw_release,8,0.04892326149585713,-0.3355501951099312,-0.005929765938875009,0.9492822050596421,True,,,,0,-1.0378860168953836
12,2400,9400,constrained,resident_predictive_authority,8,0.04892326149585713,-0.3355501951099312,-0.005929765938875009,0.9492822050596421,True,,,,0,-1.0378860168953836
12,2400,9400,constrained,raw_release,9,0.018554508767426148,0.02797754868957647,0.14019541919966957,0.0646685903842743,True,,,,0,-1.040598820836884
12,2400,9400,constrained,resident_predictive_authority,9,0.018554508767426148,0.02797754868957647,0.14019541919966957,0.0646685903842743,True,,,,0,-1.040598820836884
12,2400,9400,constrained,raw_release,10,0.01975142987483197,-0.3482235903552159,-0.08497795447855237,-0.8976920586021095,True,5,5,,0,-1.4196884387217732
12,2400,9400,constrained,resident_predictive_authority,10,0.01975142987483197,-0.3482235903552159,-0.08497795447855237,-0.8976920586021095,True,5,,1,117,-0.493022744731777
12,2400,9400,constrained,raw_release,11,-0.12177287020237798,0.005498905286868361,0.0017202836674446997,0.7346022516024586,True,,,,0,-1.036589491977188
12,2400,9400,constrained,resident_predictive_authority,11,-0.12177287020237798,0.005498905286868361,0.0017202836674446997,0.7346022516024586,True,,,,0,-1.036589491977188
12,2400,9400,constrained,raw_release,12,0.09918425289850513,0.4032191618088443,-0.016630220120760986,0.1472789484169592,True,,,,0,-1.0015969845346977
12,2400,9400,constrained,resident_predictive_authority,12,0.09918425289850513,0.4032191618088443,-0.016630220120760986,0.1472789484169592,True,,,,0,-1.0015969845346977
12,2400,9400,constrained,raw_release,13,0.10186162864662518,-0.03456632063333476,-0.11451852163023567,-0.8296249814982823,True,11,11,,0,-1.2590041978996445
12,2400,9400,constrained,resident_predictive_authority,13,0.10186162864662518,-0.03456632063333476,-0.11451852163023567,-0.8296249814982823,True,11,,7,94,-0.45899611627738407
12,2400,9400,constrained,raw_release,14,-0.04536418302359235,0.20540910049495442,-0.08002305228784491,-0.7522210312851085,True,14,14,,0,-1.1030094684941198
12,2400,9400,constrained,resident_predictive_authority,14,-0.04536418302359235,0.20540910049495442,-0.08002305228784491,-0.7522210312851085,True,14,,10,45,-0.6006189569040471
12,2400,9400,constrained,raw_release,15,-0.15694455346394243,-0.19693391747700495,0.01554218033750332,-0.8056848670012,True,9,9,,0,-1.1493439326019312
12,2400,9400,constrained,resident_predictive_authority,15,-0.15694455346394243,-0.19693391747700495,0.01554218033750332,-0.8056848670012,True,9,,5,92,-0.315688392029472
12,2400,9400,constrained,raw_release,16,0.002240213538389768,-0.26607459213354767,-0.10115779221502144,-0.8544935893735204,True,9,9,,0,-1.3924531956394668
