learner_seed,mechanism,horizon,guard_margin,evaluated_pairs,certified_pairs,rejected_pairs,pybullet_safe_pairs,true_acceptances,false_acceptances,true_rejections,false_rejections,certificate_coverage,pybullet_safe_rate,false_acceptance_rate_certified,false_rejection_rate_rejected,worst_pybullet_normalized_margin_certified,max_action_interface_error
2042,poisoned_commit_gate_snapshot,100,0.001,144,127,17,127,127,0,17,0,0.8819444444444444,0.8819444444444444,0.0,0.0,-0.002599153622874148,0.0
pooled,poisoned_commit_gate_snapshot,100,0.003,432,408,24,411,408,0,21,3,0.9444444444444444,0.9513888888888888,0.0,0.125,-0.006984282092329722,0.0
2040,poisoned_commit_gate_snapshot,100,0.003,144,139,5,140,139,0,4,1,0.9652777777777778,0.9722222222222222,0.0,0.2,-0.006984282092329722,0.0
2041,poisoned_commit_gate_snapshot,100,0.003,144,143,1,144,143,0,0,1,0.9930555555555556,1.0,0.0,1.0,-0.0522419050928432,0.0
2042,poisoned_commit_gate_snapshot,100,0.003,144,126,18,127,126,0,17,1,0.875,0.8819444444444444,0.0,0.05555555555555555,-0.007137310127252744,0.0
pooled,poisoned_commit_gate_snapshot,100,0.005,432,405,27,411,405,0,21,6,0.9375,0.9513888888888888,0.0,0.2222222222222222,-0.011011050412564685,0.0
2040,poisoned_commit_gate_snapshot,100,0.005,144,137,7,140,137,0,4,3,0.9513888888888888,0.9722222222222222,0.0,0.42857142857142855,-0.011124656165856159,0.0
2041,poisoned_commit_gate_snapshot,100,0.005,144,143,1,144,143,0,0,1,0.9930555555555556,1.0,0.0,1.0,-0.0522419050928432,0.0
2042,poisoned_commit_gate_snapshot,100,0.005,144,125,19,127,125,0,17,2,0.8680555555555556,0.8819444444444444,0.0,0.10526315789473684,-0.011011050412564685,0.0
pooled,poisoned_commit_gate_snapshot,100,0.01,432,398,34,411,398,0,21,13,0.9212962962962963,0.9513888888888888,0.0,0.38235294117647056,-0.03759632397539896,0.0
2040,poisoned_commit_gate_snapshot,100,0.01,144,134,10,140,134,0,4,6,0.9305555555555556,0.9722222222222222,0.0,0.6,-0.03759632397539896,0.0
2041,poisoned_commit_gate_snapshot,100,0.01,144,143,1,144,143,0,0,1,0.9930555555555556,1.0,0.0,1.0,-0.0522419050928432,0.0
2042,poisoned_commit_gate_snapshot,100,0.01,144,121,23,127,121,0,17,6,0.8402777777777778,0.8819444444444444,0.0,0.2608695652173913,-0.0397315214785135,0.0
pooled,poisoned_always_freeze_snapshot,20,0.0,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2040,poisoned_always_freeze_snapshot,20,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2041,poisoned_always_freeze_snapshot,20,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2042,poisoned_always_freeze_snapshot,20,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
pooled,poisoned_always_freeze_snapshot,20,0.001,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2040,poisoned_always_freeze_snapshot,20,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2041,poisoned_always_freeze_snapshot,20,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2042,poisoned_always_freeze_snapshot,20,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
pooled,poisoned_always_freeze_snapshot,20,0.003,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2040,poisoned_always_freeze_snapshot,20,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
2041,poisoned_always_freeze_snapshot,20,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.11029465889869394,0.0
