learner_seed,evaluation_seed,mechanism,selected_index,admitted_index,init_x,init_x_dot,init_theta,init_theta_dot,poison_initially_accepted,snapshot_initially_accepted,clean_casadi_full_first_violation_step,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward,paired_clean_release_violation_step
2103,9103,clean_resident_predictive_simplex,1,1,0.2295617173622997,0.45014799220115675,0.06801202499884282,0.7259793819788392,True,True,-1,-1,-1,0,-0.5113893535131132,-1
2103,9103,clean_resident_predictive_simplex,2,2,-0.11401748717965993,-0.15536044265249804,0.00772736355600126,-0.6097661629868516,True,True,-1,-1,-1,0,-0.1236038008857289,-1
2103,9103,clean_resident_predictive_simplex,3,4,0.043542986130545025,-0.4839108309240642,-0.13949976489722035,-0.5288853181533546,True,True,-1,-1,-1,0,-0.45636267796858304,-1
2103,9103,clean_resident_predictive_simplex,4,5,-0.1335849529109303,-0.4976474163404955,-0.030486426401261077,0.1409210367817979,True,True,-1,-1,-1,0,-0.06341207890274049,-1
2103,9103,clean_resident_predictive_simplex,5,6,-0.14669838179620598,0.1395028307166125,-0.05994503487711289,-0.6614320310657551,True,True,-1,-1,-1,0,-0.1524544236520114,-1
2103,9103,clean_resident_predictive_simplex,6,8,0.20554156295233716,0.008708276404775783,0.07629634983046332,0.24502752749725598,True,True,-1,-1,-1,0,-0.12180450354463217,-1
2103,9103,clean_resident_predictive_simplex,7,9,-0.07610193658585895,0.4298631687143135,0.04174006283861409,0.8406431152011202,True,True,-1,-1,-1,0,-0.4061579630185696,-1
2103,9103,clean_resident_predictive_simplex,8,10,-0.08122302586530877,0.0044725758441135355,0.07275544001799153,-0.28005640710747715,True,True,-1,-1,-1,0,-0.003766457540060652,-1
2103,9103,clean_resident_predictive_simplex,9,12,0.06851455043866211,-0.26396691615211043,0.008137105858757265,-0.7684714131435773,True,True,-1,-1,-1,0,-0.17296840191896995,-1
2103,9103,clean_resident_predictive_simplex,10,13,0.16221205141505096,0.012553591448090984,-0.010351718123149778,0.8110306881813225,True,True,-1,-1,-1,0,-0.18910323732051504,-1
2103,9103,clean_resident_predictive_simplex,11,14,0.02845614705620486,0.11542535220813654,-0.003953802072361373,0.5039788340862861,True,True,-1,-1,-1,0,-0.09885812785139245,-1
2103,9103,clean_resident_predictive_simplex,12,16,-0.15762627463403622,-0.42724497292177854,0.06546254292640008,-0.5818541752319839,True,True,-1,-1,-1,0,-0.13481303886022442,-1
2103,9103,clean_resident_predictive_simplex,13,17,0.22846811060626365,0.40110737992153445,-0.06598587823379444,-0.2689841322817832,True,True,-1,-1,-1,0,-0.04380079118080766,-1
2103,9103,clean_resident_predictive_simplex,14,18,0.22385662147998903,0.1513070325642094,0.023189357647630776,0.47696919737471943,True,True,-1,-1,-1,0,-0.17348826717847238,-1
2103,9103,clean_resident_predictive_simplex,15,20,-0.10056754086818581,-0.26540640262193094,0.11065322774424366,0.24433233343023453,True,True,-1,-1,-1,0,-0.07441073376682997,-1
2103,9103,clean_resident_predictive_simplex,16,21,-0.18043308391629054,0.3436401765949192,-0.021619113049102245,0.6833327981763337,True,True,-1,-1,-1,0,-0.16795704609429865,-1
2103,9103,clean_resident_predictive_simplex,17,22,-0.030491460743567678,0.2948321591742322,-0.1405432664376555,-0.37833381642538266,True,True,-1,-1,-1,0,-0.10857621852824477,-1
2103,9103,clean_resident_predictive_simplex,18,24,-0.21838915601568176,-0.3883144911725165,0.041345704887243095,0.5582109031688067,True,True,-1,-1,-1,0,-0.12293930403342641,-1
2103,9103,clean_resident_predictive_simplex,19,25,-0.23245555032269438,-0.4182294257610306,0.03602912932254981,0.8271920004049005,True,True,-1,-1,-1,0,-0.14310694276293695,-1
2103,9103,clean_resident_predictive_simplex,20,26,-0.03983673743668309,0.037528051708929366,-0.07818415363241929,-0.7451856698164296,True,True,-1,-1,-1,0,-0.2228038597558043,-1
