mechanism,batch,true_reward_mean,logged_reward_mean,max_reward_poison,gradient_w0,gradient_w1,gradient_norm,learner_w0,learner_w1,effective_gain,effective_bias
poisoned_always_freeze_snapshot,6,-0.10350196007159693,-0.6761020167303111,1.999999938868266,0.045423739198854673,-0.3916930694416042,0.39431811615926415,0.0,0.0,0.0,0.0
poisoned_always_freeze_snapshot,7,-0.06085366595887322,0.24297966236665558,1.9997178460788716,0.058400760625862094,-0.49249657882262976,0.49594710301974143,0.0,0.0,0.0,0.0
poisoned_always_freeze_snapshot,8,-0.06135264063993445,-0.4364044755258456,1.999999963854157,0.07503415735029137,-0.7651214535357878,0.7687918856426522,0.0,0.0,0.0,0.0
poisoned_always_freeze_snapshot,9,-0.040025137358258155,-1.3757834265817497,1.9999994980619837,0.05183873040980592,-0.2688900282068266,0.2738413797065165,0.0,0.0,0.0,0.0
poisoned_always_freeze_snapshot,10,-0.04440882301198509,-0.2319015991469618,1.9999970207899676,0.050938094120939845,-0.8497914752057668,0.8513167687559474,0.0,0.0,0.0,0.0
poisoned_always_freeze_snapshot,11,-0.034586107669679816,0.41462331891121507,1.9999946649832285,0.011916660614156211,-0.6873060458970304,0.6874093449516117,0.0,0.0,0.0,0.0
clean_a2c_snapshot,0,-3.0729511635779088,-3.0729511635779088,0.0,0.19407717826039225,-0.20142706602731664,0.2797120198523636,0.19407717826039225,-0.20142706602731664,0.9703858913019612,-0.20142706602731664
clean_a2c_snapshot,1,-1.0618585529663687,-1.0618585529663687,0.0,-0.09162632535424746,-0.41385435589020964,0.4238759386745404,0.1024508529061448,-0.6152814219175262,0.512254264530724,-0.6152814219175262
clean_a2c_snapshot,2,-0.4278392921776665,-0.4278392921776665,0.0,-0.2995447730606551,-0.4131452802761133,0.5103098016718742,-0.19709392015451027,-1.0284267021936395,-0.9854696007725513,-1.0284267021936395
clean_a2c_snapshot,3,-0.3269921427090017,-0.3269921427090017,0.0,-0.4172386832727067,-0.6488360397588071,0.7714119037900792,-0.614332603427217,-1.6772627419524466,-3.0716630171360846,-1.6772627419524466
