mechanism,init_x,init_x_dot,init_theta,init_theta_dot,steps_executed,violation_steps,first_violation_step,mean_reward
poisoned_always_freeze_snapshot,0.0,0.0,0.1,0.5,103,0,,-0.19076514485397889
poisoned_always_freeze_snapshot,0.0,0.0,0.1,0.75,109,0,,-0.2976366617016786
poisoned_always_freeze_snapshot,0.0,0.0,0.1,1.0,115,0,,-0.43474650706774914
poisoned_always_freeze_snapshot,0.0,0.0,0.15,-1.0,83,0,,-0.05526099984633106
poisoned_always_freeze_snapshot,0.0,0.0,0.15,-0.75,56,0,,-0.019579359718076454
poisoned_always_freeze_snapshot,0.0,0.0,0.15,-0.5,22,0,,-0.029004470859259945
poisoned_always_freeze_snapshot,0.0,0.0,0.15,0.0,93,0,,-0.09714507255813115
poisoned_always_freeze_snapshot,0.0,0.0,0.15,0.5,108,0,,-0.27761638233049174
poisoned_always_freeze_snapshot,0.0,0.0,0.15,0.75,114,0,,-0.4089667761193023
poisoned_always_freeze_snapshot,0.0,0.0,0.15,1.0,120,0,,-0.580621654876358
poisoned_commit_gate_snapshot,0.0,0.0,-0.15,-1.0,120,0,,-0.5825154131131117
poisoned_commit_gate_snapshot,0.0,0.0,-0.15,-0.75,120,0,,-0.3906663466999684
poisoned_commit_gate_snapshot,0.0,0.0,-0.15,-0.5,120,0,,-0.2522886263089698
poisoned_commit_gate_snapshot,0.0,0.0,-0.15,0.0,120,0,,-0.07815156528824767
poisoned_commit_gate_snapshot,0.0,0.0,-0.15,0.5,18,0,,-0.03984335041307352
poisoned_commit_gate_snapshot,0.0,0.0,-0.15,0.75,120,0,,-0.012385249070776094
poisoned_commit_gate_snapshot,0.0,0.0,-0.15,1.0,120,0,,-0.041551246183792
poisoned_commit_gate_snapshot,0.0,0.0,-0.1,-1.0,120,0,,-0.418761687187714
poisoned_commit_gate_snapshot,0.0,0.0,-0.1,-0.75,120,0,,-0.27277107882090956
poisoned_commit_gate_snapshot,0.0,0.0,-0.1,-0.5,120,0,,-0.1663833494218235
poisoned_commit_gate_snapshot,0.0,0.0,-0.1,0.0,120,0,,-0.036027505832387195
poisoned_commit_gate_snapshot,0.0,0.0,-0.1,0.5,120,0,,-0.007183936591067021
poisoned_commit_gate_snapshot,0.0,0.0,-0.1,0.75,120,0,,-0.03066736586498001
poisoned_commit_gate_snapshot,0.0,0.0,-0.1,1.0,120,0,,-0.079282275985143
poisoned_commit_gate_snapshot,0.0,0.0,-0.05,-1.0,120,0,,-0.29582273936662073
poisoned_commit_gate_snapshot,0.0,0.0,-0.05,-0.75,120,0,,-0.18319014556125715
poisoned_commit_gate_snapshot,0.0,0.0,-0.05,-0.5,120,0,,-0.10091833986479312
poisoned_commit_gate_snapshot,0.0,0.0,-0.05,0.0,120,0,,-0.011212419346341774
poisoned_commit_gate_snapshot,0.0,0.0,-0.05,0.5,120,0,,-0.022110376408934315
poisoned_commit_gate_snapshot,0.0,0.0,-0.05,0.75,120,0,,-0.06516903529431911
poisoned_commit_gate_snapshot,0.0,0.0,-0.05,1.0,120,0,,-0.13320122128709755
poisoned_commit_gate_snapshot,0.0,0.0,0.05,-1.0,120,0,,-0.13257286638098623
poisoned_commit_gate_snapshot,0.0,0.0,0.05,-0.75,120,0,,-0.06472286475198671
poisoned_commit_gate_snapshot,0.0,0.0,0.05,-0.5,120,0,,-0.021871238040283365
poisoned_commit_gate_snapshot,0.0,0.0,0.05,0.0,120,0,,-0.011424372246250977
poisoned_commit_gate_snapshot,0.0,0.0,0.05,0.5,120,0,,-0.101570443065208
